id;active;version;age_attested;active_date;revocation_date;user_id
1;false;Bulgarian unleash incremental;false;2022-06-28T20:19:32;2022-06-29T02:35:56;1
2;true;Lead protocol capacitor;false;2022-06-29T09:51:20;2022-06-29T00:21:55;2
3;true;Skyway Wallis;false;2022-06-29T12:18:06;2022-06-29T02:57:44;1
4;true;New infrastructure Phased;true;2022-06-28T21:18:07;2022-06-29T00:15:20;2
5;true;Realigned;true;2022-06-29T08:18:41;2022-06-29T03:06:20;2
6;true;Extensions JSON;true;2022-06-29T18:06:48;2022-06-29T00:21:27;1
7;false;Ohio Gorgeous;false;2022-06-29T09:32:54;2022-06-29T17:00:21;2
8;false;supply-chains Tasty;true;2022-06-29T02:00:41;2022-06-29T15:15:02;2
9;true;Small reinvent;true;2022-06-28T18:52:45;2022-06-28T22:58:59;2
10;true;Investor Well Licensed;true;2022-06-29T17:39:40;2022-06-29T09:14:03;2
